Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
358,Ha-Seong Kim,29,TBR,AL,0.1,24,93,84,5,18,3,0,2,5,6,1,8,23,0.214,0.29,0.321,0.612,71,0.283,69,27,0,1,0,0,0,04-Jun,
358,Ha-Seong Kim,29,ATL,NL,0.2,24,98,87,14,22,1,0,3,12,0,1,8,16,0.253,0.316,0.368,0.684,94,0.297,92,32,2,1,0,2,0,6/H,
359,Matt Thaiss*,30,2TM,AL,1.1,60,190,156,16,34,6,1,1,16,1,1,29,46,0.218,0.349,0.288,0.638,82,0.299,88,45,2,3,1,1,0,2/H3D,
359,Matt Thaiss*,30,CHW,AL,1.1,35,110,85,11,18,4,0,1,8,1,1,23,21,0.212,0.382,0.294,0.676,94,0.323,107,25,2,1,0,1,0,2/H3D,
359,Matt Thaiss*,30,TBR,AL,0.1,25,80,71,5,16,2,1,0,8,0,0,6,25,0.225,0.304,0.282,0.585,66,0.265,62,20,0,2,1,0,0,2/3H,
360,Nick Loftin,26,KCR,AL,-0.4,67,188,168,17,35,9,2,4,20,1,1,14,27,0.208,0.278,0.357,0.635,77,0.273,70,60,7,3,1,2,0,7H45/3D,
361,Connor Wong,29,BOS,AL,-0.5,63,188,168,16,32,8,0,0,7,2,1,16,42,0.19,0.262,0.238,0.5,43,0.242,49,40,7,1,1,2,0,2/H3D,
362,Luis Matos,23,SFG,NL,-0.2,57,184,172,26,38,9,1,8,22,4,0,11,27,0.221,0.266,0.424,0.691,95,0.306,93,73,5,0,0,1,0,97/8HD,
363,Ronny Mauricio#,24,NYM,NL,0.7,61,184,168,19,38,6,0,6,10,4,0,15,54,0.226,0.293,0.369,0.663,87,0.303,88,62,5,1,0,0,1,5H/46D,
364,Christian Moore,22,LAA,AL,0.1,53,184,162,20,32,5,1,7,16,3,0,19,62,0.198,0.284,0.37,0.655,83,0.289,80,60,3,1,1,1,0,4/H,
365,Graham Pauley*,24,MIA,NL,0.7,62,184,161,18,36,9,1,4,11,2,0,21,36,0.224,0.311,0.366,0.678,89,0.303,87,59,1,0,1,1,0,5/438,
366,Jeremiah Jackson,25,BAL,AL,0.4,48,183,170,20,47,10,2,5,21,0,2,11,50,0.276,0.328,0.447,0.775,117,0.329,116,76,6,2,0,0,0,95/HD4,
367,Sam Haggerty#,31,TEX,AL,0.8,64,182,162,31,41,7,3,2,13,12,4,16,37,0.253,0.328,0.37,0.698,104,0.334,122,60,1,2,1,0,1,H78D/49,
368,Austin Martin,26,MIN,AL,0.7,50,181,156,22,44,8,1,1,7,11,4,22,31,0.282,0.374,0.365,0.74,107,0.333,108,57,6,1,2,0,0,78/H4,
369,Austin Hedges,32,CLE,AL,-0.4,68,180,155,13,25,3,0,5,10,1,2,18,43,0.161,0.25,0.277,0.527,48,0.233,41,43,2,1,4,2,0,01-Feb,
370,Leody Taveras#,26,2TM,AL,-0.6,58,180,171,13,35,6,1,3,17,9,3,5,50,0.205,0.226,0.304,0.53,52,0.236,48,52,0,0,3,1,0,89/H,
370,Leody Taveras#,26,TEX,AL,0.1,30,82,79,7,19,3,1,1,8,6,1,2,23,0.241,0.259,0.342,0.601,74,0.268,69,27,0,0,1,0,0,8/H,
