Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
261,Yoendrys Gómez,25,CHW,AL,0.1,2,2,0.5,4.84,12,9,3,0,0,0,48.1,45,29,26,9,16,0,47,4,0,2,208,87,4.85,1.262,8.4,1.7,3,8.8,2.94,
262,David Bednar,30,2TM,2LG,2.3,6,5,0.545,2.3,64,0,51,0,0,27,62.2,46,18,16,4,19,2,86,1,0,4,251,188,2.18,1.037,6.6,0.6,2.7,12.4,4.53,
262,David Bednar,30,PIT,NL,1.4,2,5,0.286,2.37,42,0,34,0,0,17,38,32,12,10,2,10,2,51,1,0,3,154,187,2,1.105,7.6,0.5,2.4,12.1,5.1,
262,David Bednar,30,NYY,AL,0.9,4,0,1,2.19,22,0,17,0,0,10,24.2,14,6,6,2,9,0,35,0,0,1,97,190,2.45,0.932,5.1,0.7,3.3,12.8,3.89,
263,Andrés Muñoz,26,SEA,AL,2.5,3,3,0.5,1.73,64,0,47,0,0,38,62.1,36,18,12,2,28,3,83,4,0,7,254,221,2.43,1.027,5.2,0.3,4,12,2.96,AS
264,Matt Strahm*,33,PHI,NL,2,2,3,0.4,2.74,66,0,19,0,0,6,62.1,47,22,19,5,20,1,70,2,0,3,256,163,2.99,1.075,6.8,0.7,2.9,10.1,3.5,
265,Gabe Speier*,30,SEA,AL,1.4,4,3,0.571,2.61,76,0,4,0,0,0,62,43,19,18,5,11,1,82,5,0,1,243,147,2.31,0.871,6.2,0.7,1.6,11.9,7.45,
266,Devin Williams,30,NYY,AL,-0.3,4,6,0.4,4.79,67,0,29,0,0,18,62,45,37,33,5,25,1,90,4,0,4,259,86,2.68,1.129,6.5,0.7,3.6,13.1,3.6,
267,Brock Burke*,28,LAA,AL,1.3,7,1,0.875,3.36,69,1,14,0,0,0,61.2,58,24,23,8,18,4,52,3,1,0,257,124,4.16,1.232,8.5,1.2,2.6,7.6,2.89,
268,Cole Ragans*,27,KCR,AL,0.2,3,3,0.5,4.67,13,13,0,0,0,0,61.2,53,33,32,7,20,0,98,2,0,3,257,88,2.5,1.184,7.7,1,2.9,14.3,4.9,
269,Mason Miller,26,2TM,2LG,2.3,1,2,0.333,2.63,60,0,37,0,0,22,61.2,28,19,18,5,28,2,104,1,1,3,234,164,2.23,0.908,4.1,0.7,4.1,15.2,3.71,
269,Mason Miller,26,ATH,AL,1,1,2,0.333,3.76,38,0,32,0,0,20,38.1,21,17,16,4,18,2,59,1,1,3,151,116,2.9,1.017,4.9,0.9,4.2,13.9,3.28,
269,Mason Miller,26,SDP,NL,1.4,0,0,,0.77,22,0,5,0,0,2,23.1,7,2,2,1,10,0,45,0,0,0,83,556,1.12,0.729,2.7,0.4,3.9,17.4,4.5,
270,Aroldis Chapman*,37,BOS,AL,3.4,5,3,0.625,1.17,67,0,43,0,0,32,61.1,28,9,8,3,15,0,85,0,0,6,228,344,1.73,0.701,4.1,0.4,2.2,12.5,5.67,"AS,CYA-7,MVP-18"
271,Garrett Cleavinger*,31,TBR,AL,1.9,2,6,0.25,2.35,67,0,9,0,0,2,61.1,40,17,16,9,18,0,82,7,0,1,243,177,3.59,0.946,5.9,1.3,2.6,12,4.56,
272,Lucas Erceg,30,KCR,AL,1.5,8,4,0.667,2.64,61,0,10,0,0,2,61.1,54,19,18,4,18,3,48,4,0,3,249,156,3.49,1.174,7.9,0.6,2.6,7,2.67,
273,Juan Mejia,24,COL,NL,0.6,2,2,0.5,3.96,55,0,16,0,0,1,61.1,52,34,27,6,25,1,68,6,0,2,261,122,3.71,1.255,7.6,0.9,3.7,10,2.72,
274,Blake Snell*,32,LAD,NL,1.4,5,4,0.556,2.35,11,11,0,0,0,0,61.1,51,21,16,3,26,1,72,0,0,7,254,176,2.69,1.255,7.5,0.4,3.8,10.6,2.77,
275,Ryan Walker,29,SFG,NL,0.1,5,7,0.417,4.11,68,0,36,0,0,17,61.1,60,32,28,4,18,2,60,8,2,1,266,97,3.3,1.272,8.8,0.6,2.6,8.8,3.33,
276,Phil Maton,32,2TM,2LG,1.4,4,5,0.444,2.79,63,0,22,0,0,5,61.1,42,21,19,3,23,2,81,7,0,1,248,143,2.6,1.06,6.2,0.4,3.4,11.9,3.52,
276,Phil Maton,32,STL,NL,1.1,1,3,0.25,2.35,40,0,9,0,0,2,38.1,28,12,10,1,15,1,48,5,0,1,158,176,2.54,1.122,6.6,0.2,3.5,11.3,3.2,
276,Phil Maton,32,TEX,AL,0.2,3,2,0.6,3.52,23,0,13,0,0,3,23,14,9,9,2,8,1,33,2,0,0,90,107,2.7,0.957,5.5,0.8,3.1,12.9,4.13,
277,Hunter Dobbins,25,BOS,AL,0.4,4,1,0.8,4.13,13,11,0,0,0,0,61,61,30,28,6,17,1,45,2,0,0,256,98,3.87,1.279,9,0.9,2.5,6.6,2.65,
278,JoJo Romero*,28,STL,NL,1.7,4,6,0.4,2.07,65,0,16,0,0,8,61,47,21,14,2,29,5,55,2,0,2,255,200,3.28,1.246,6.9,0.3,4.3,8.1,1.9,
279,Sean Manaea*,33,NYM,NL,-0.3,2,4,0.333,5.64,15,12,2,0,0,0,60.2,62,38,38,13,12,0,75,7,0,2,263,73,4.39,1.22,9.2,1.9,1.8,11.1,6.25,
280,Pete Fairbanks,31,TBR,AL,1.2,4,5,0.444,2.83,61,0,48,0,0,27,60.1,45,22,19,7,18,0,59,1,0,2,244,147,3.63,1.044,6.7,1,2.7,8.8,3.28,
